Movie Name,Year,Duration,Rated,Score,Metascore
The Matrix Resurrections,2021,2h 28m,R,5.7,63
Pearl Harbor,2001,3h 3m,PG-13,6.2,44
Glass,2019,2h 9m,PG-13,6.6,43
Green Book,2018,2h 10m,PG-13,8.2,69
The Age of Adaline,2015,1h 52m,PG-13,7.2,51
La Chimera,2023,2h 10m,Other,7.3,91
The Killer,2023,1h 58m,R,6.7,73
Prisoners,2013,2h 33m,R,8.2,70
Jurassic World Dominion,2022,2h 27m,PG-13,5.6,38
Past Lives,2023,1h 45m,PG-13,7.9,94
The Dreamers,2003,1h 55m,NC-17,7.1,63
Force of Nature: The Dry 2,2024,2h,R,6,58
The Black Phone,2021,1h 43m,R,6.9,65
Bad Boys for Life,2020,2h 4m,R,6.5,59
Django Unchained,2012,2h 45m,R,8.5,81
Wicked Little Letters,2023,1h 40m,R,7,58
The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9,94
Ex Machina,2014,1h 48m,R,7.7,78
Hacksaw Ridge,2016,2h 19m,R,8.1,71
Joker,2019,2h 2m,R,8.4,59
Get Out,2017,1h 44m,R,7.8,85
One Life,2023,1h 49m,PG,7.5,69
The Beach Boys,2024,1h 53m,PG-13,7.1,63
In the Land of Saints and Sinners,2023,1h 46m,R,6.3,60
Guardians of the Galaxy Vol. 3,2023,2h 30m,PG-13,7.9,64
The Equalizer,2014,2h 12m,R,7.2,57
Terrifier,2016,1h 25m,Other,5.6,0
A Quiet Place,2018,1h 30m,PG-13,7.5,82
Eileen,2023,1h 37m,R,6,72
The Dark Knight Rises,2012,2h 44m,PG-13,8.4,78
Reptile,2023,2h 14m,R,6.8,52
John Wick,2014,1h 41m,R,7.4,68
Arrival,2016,1h 56m,PG-13,7.9,81
Kill Bill: Vol. 1,2003,1h 51m,R,8.2,69
American Psycho,2000,1h 42m,R,7.6,64
Dungeons & Dragons: Honor Among Thieves,2023,2h 14m,PG-13,7.2,72
Nope,2022,2h 10m,R,6.8,77
Garfield: The Movie,2004,1h 20m,PG,5,27
The Florida Project,2017,1h 51m,R,7.6,92
Ready Player One,2018,2h 20m,PG-13,7.4,64
Mandy,2018,2h 1m,Other,6.5,83
The Hangover,2009,1h 40m,R,7.7,73
Memento,2000,1h 53m,R,8.4,83
The Family Plan,2023,1h 58m,PG-13,6.3,39
Twilight,2008,2h 2m,PG-13,5.3,56
Avatar: The Way of Water,2022,3h 12m,PG-13,7.5,67
Priscilla,2023,1h 53m,R,6.5,79
A Serbian Film,2010,1h 44m,NC-17,5,0
Cars,2006,1h 56m,G,7.2,73
Thanksgiving,2023,1h 46m,R,6.3,63
Bottoms,2023,1h 31m,R,6.7,74
Spirited Away,2001,2h 5m,PG,8.6,96
Gerald's Game,2017,1h 43m,TV-MA,6.5,77
Teenage Mutant Ninja Turtles,2014,1h 41m,PG-13,5.8,31
Prometheus,2012,2h 4m,R,7,64
Transformers: Rise of the Beasts,2023,2h 7m,PG-13,6,42
Firebrand,2023,2h,Other,6.5,61
X-Men,2000,1h 44m,PG-13,7.3,64
Free Guy,2021,1h 55m,PG-13,7.1,62
Drive,2011,1h 40m,R,7.8,79
Red Rocket,2021,2h 10m,R,7.1,76
Sicario,2015,2h 1m,R,7.7,82
Lisa Frankenstein,2024,1h 41m,PG-13,6.1,47
Inside Man,2006,2h 9m,R,7.6,76
Avengers: Infinity War,2018,2h 29m,PG-13,8.4,68
Transformers,2007,2h 24m,PG-13,7,61
Sleeping Dogs,2024,1h 50m,R,6.1,43
The Peanut Butter Falcon,2019,1h 37m,PG-13,7.6,70
Spider-Man,2002,2h 1m,PG-13,7.4,73
Mean Girls,2004,1h 37m,PG-13,7.1,66
Little Women,2019,2h 15m,PG,7.8,91
"Crazy, Stupid, Love.",2011,1h 58m,PG-13,7.4,68
Black Hawk Down,2001,2h 24m,R,7.7,74
The Suicide Squad,2021,2h 12m,R,7.2,72
Fast X,2023,2h 21m,PG-13,5.8,56
Zero Dark Thirty,2012,2h 37m,R,7.4,95
Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3,89
Dunkirk,2017,1h 46m,PG-13,7.8,94
The Hateful Eight,2015,2h 48m,R,7.8,68
To Catch a Killer,2023,1h 59m,R,6.6,43
X-Men Origins: Wolverine,2009,1h 47m,PG-13,6.5,40
Lift,2024,1h 47m,PG-13,5.5,40
La La Land,2016,2h 8m,PG-13,8,94
Indiana Jones and the Dial of Destiny,2023,2h 34m,PG-13,6.5,58
Iron Man,2008,2h 6m,PG-13,7.9,79
Ice Age: Collision Course,2016,1h 34m,PG,5.7,34
The Creator,2023,2h 13m,PG-13,6.7,63
Fair Play,2023,1h 53m,R,6.4,73
The Great Gatsby,2013,2h 23m,PG-13,7.2,55
Guy Ritchie's the Covenant,2023,2h 3m,R,7.5,63
Love & Other Drugs,2010,1h 52m,R,6.7,55
Smile,2022,1h 55m,R,6.5,68
Donnie Darko,2001,1h 53m,R,8,88
The Lobster,2015,1h 59m,R,7.1,82
The Big Short,2015,2h 10m,R,7.8,81
Gran Turismo,2023,2h 14m,PG-13,7.1,48
The Devil Wears Prada,2006,1h 49m,PG-13,6.9,62
1917,2019,1h 59m,R,8.2,78
Pirates of the Caribbean: Dead Men Tell No Tales,2017,2h 9m,PG-13,6.5,39
The Maze Runner,2014,1h 53m,PG-13,6.8,57
Call Me by Your Name,2017,2h 12m,R,7.8,94
The Incredibles,2004,1h 55m,PG,8,90
Pitch Perfect,2012,1h 52m,PG-13,7.1,66
